"Marital.status2","Marital.statusOthers","Application.mode12","Application.mode14","Application.mode8","Application.modeOthers","Application.order","Course2","Course3","Course4","Course5","Course6","Course7","Course8","Course9","Course10","Course11","Course12","Course13","Course14","Course15","Course16","Course17","Daytime.evening.attendance1","Previous.qualification12","Previous.qualification14","Previous.qualificationOthers","Nacionality14","Nacionality9","NacionalityOthers","Mother.s.qualification13","Mother.s.qualification22","Mother.s.qualification23","Mother.s.qualification3","Mother.s.qualificationOthers","Father.s.qualification14","Father.s.qualification24","Father.s.qualification27","Father.s.qualification28","Father.s.qualification3","Father.s.qualificationOthers","Mother.s.occupation3","Mother.s.occupation4","Mother.s.occupation5","Mother.s.occupation6","Mother.s.occupation8","Mother.s.occupationOthers","Father.s.occupation11","Father.s.occupation4","Father.s.occupation5","Father.s.occupation6","Father.s.occupation7","Father.s.occupation8","Father.s.occupation9","Father.s.occupationOthers","Displaced1","Educational.special.needs1","Debtor1","Tuition.fees.up.to.date1","Gender1","Scholarship.holder1","Age.at.enrollment","International1","Curricular.units.1st.sem..credited.","Curricular.units.1st.sem..enrolled.","Curricular.units.1st.sem..evaluations.","Curricular.units.1st.sem..approved.","Curricular.units.1st.sem..grade.","Curricular.units.1st.sem..without.evaluations.","Curricular.units.2nd.sem..credited.","Curricular.units.2nd.sem..enrolled.","Curricular.units.2nd.sem..evaluations.","Curricular.units.2nd.sem..approved.","Curricular.units.2nd.sem..grade.","Curricular.units.2nd.sem..without.evaluations.","Unemployment.rate","Inflation.rate","GDP"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.027027027027027,0,0,0.352941176470588,0.291666666666667,0.4,0.715686274509804,0,0,0.352941176470588,0.357142857142857,0.333333333333333,0.724431818181818,0,0.372093023255814,0.488888888888889,0.766182298546896
0,0,0,0,0,1,0.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.0540540540540541,0,0,0.294117647058824,0.375,0.2,0.607843137254902,0.125,0,0.294117647058824,0.285714285714286,0.25,0.738636363636364,0,0,0.755555555555556,0.578599735799207
0,0,0,0,1,0,0.125,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.027027027027027,0,0,0.470588235294118,0.5,0.466666666666667,0.722689075630252,0,0,0.470588235294118,0.428571428571429,0.583333333333333,0.698051948051948,0,0.593023255813953,1,0.311756935270806
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.432432432432432,0,0.571428571428571,0.588235294117647,0.625,0.533333333333333,0.610294117647059,0,0.583333333333333,0.588235294117647,0.464285714285714,0.75,0.593434343434343,0,0,0.755555555555556,0.578599735799207
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.108108108108108,0,0,0.352941176470588,0.5,0.266666666666667,0.735294117647059,0,0,0.352941176470588,0.464285714285714,0.166666666666667,0.71969696969697,0,0.406976744186047,0.311111111111111,0.803170409511229
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.108108108108108,0,0,0.352941176470588,0.333333333333333,0.333333333333333,0.696078431372549,0,0,0.352941176470588,0.285714285714286,0.333333333333333,0.752840909090909,0.25,1,0.244444444444444,0.414795244385733
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0.243243243243243,0,0,0.294117647058824,0.458333333333333,0.133333333333333,0.676470588235294,0,0,0.294117647058824,0.357142857142857,0.25,0.681818181818182,0,0,0.755555555555556,0.578599735799207
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0.243243243243243,0,0,0.411764705882353,0.333333333333333,0.4,0.705882352941177,0,0,0.411764705882353,0.285714285714286,0.5,0.681818181818182,0,0,0.755555555555556,0.578599735799207
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0810810810810811,0,0,0.352941176470588,0.291666666666667,0.4,0.840336134453782,0,0,0.352941176470588,0.321428571428571,0.25,0.738636363636364,0,0.732558139534884,0.111111111111111,0.640686922060766
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.027027027027027,0,0,0.352941176470588,0.291666666666667,0.4,0.725490196078431,0,0,0.352941176470588,0.357142857142857,0.25,0.681818181818182,0,0.732558139534884,0.111111111111111,0.640686922060766
